num a b c d
200 -0.9985 0.0 0.5054 0.166
201 -0.9634 0.0 0.9995 0.166
202 0.03766 0.0 0.01014 0.166
203 0.8726 0.0 0.2389 0.166
204 0.8145 0.0 0.0002868 0.2056
205 -0.725 0.0 0.0001377 0.2372
206 -0.9673 0.0 0.9395 0.3003
207 -0.786 0.0 1.0 0.3003
208 -0.9414 0.0 0.398 0.3003
209 0.498 -0.03168 0.001779 0.3003
210 0.3286 -0.1028 0.008064 0.3003
211 0.7134 -0.1028 0.1676 0.3003
212 0.1871 0.0 0.109 0.261
213 -0.667 0.0 0.987 0.261
214 -0.9263 0.0 0.8677 0.261
215 -0.946 0.0 0.1451 0.253
216 -0.9126 0.0 0.9727 0.253
217 -0.8833 0.0 0.0001427 0.253
218 0.996 0.0 0.9653 0.253
219 0.877 0.0 2.474e-05 0.2135
220 0.5674 0.0 0.0003576 0.1423
221 -0.725 0.0 0.00083 0.1265
222 0.9062 0.0 0.1616 0.0949
223 -0.602 0.0 1.204e-05 0.0791
224 0.747 0.0 0.001311 0.0554
225 0.911 0.0 0.0024 0.02377
226 0.986 0.0 0.9854 6.104e-05
227 -0.515 0.0 4e-07 6.104e-05
228 0.931 0.11066 0.9697 6.104e-05
229 -0.5854 0.2766 0.0 6.104e-05
230 0.907 0.49 0.06274 6.104e-05
231 0.3152 0.577 1.1e-06 6.104e-05
232 -0.07434 0.593 6.6e-07 6.104e-05
233 -0.9517 0.593 0.3108 6.104e-05
234 -0.8135 0.593 0.0001137 6.104e-05
235 -0.8984 0.5215 0.02448 6.104e-05
236 -0.9087 0.245 0.09906 6.104e-05
237 -0.2612 0.0 0.007114 6.104e-05
238 -0.154 0.0 0.01913 6.104e-05
239 0.9463 0.0 1.1e-06 6.104e-05
240 0.9043 0.0 0.001347 6.104e-05
241 0.977 0.0 1.76e-05 6.104e-05
242 0.6626 0.577 0.0002525 6.104e-05
243 0.979 0.917 0.07825 6.104e-05
244 0.98 1.0 0.00949 6.104e-05
245 0.994 1.0 0.0 6.104e-05
246 0.981 0.577 0.000115 6.104e-05
247 0.9937 0.0 0.0848 6.104e-05
248 0.976 0.0 0.3328 6.104e-05
249 -0.008736 0.0 0.0 6.104e-05
250 0.9087 0.0 0.825 6.104e-05
251 0.272 0.0 0.0 6.104e-05
252 -0.3137 0.0 0.0 6.104e-05
253 -0.4512 0.0 9.2e-06 6.104e-05
254 -0.2468 0.0 2e-07 6.104e-05
255 0.8076 0.0 0.0438 6.104e-05
256 0.7017 -0.02377 8.756e-05 6.104e-05
257 -0.01768 -0.2451 0.0 6.104e-05
258 0.8433 -0.3242 0.0004365 6.104e-05
259 -0.4666 0.0 0.0004444 6.104e-05
260 0.3965 0.0 1.0 6.104e-05
